master_id,season,episode_num_in_season,episode_num_overall,title,directed_by,written_by,original_air_date,prod_code
1_1_1_1989-07-05_101,1,1,1,"Good News, Bad News",Art Wolff,Larry David & Jerry Seinfeld,1989-07-05,101
2_1_2_1990-05-31_102,1,2,2,The Stakeout,Tom Cherones,Larry David & Jerry Seinfeld,1990-05-31,102
3_1_3_1990-06-07_103,1,3,3,The Robbery,Tom Cherones,Matt Goldman,1990-06-07,103
4_1_4_1990-06-14_104,1,4,4,Male Unbonding,Tom Cherones,Larry David & Jerry Seinfeld,1990-06-14,104
5_1_5_1990-06-21_105,1,5,5,The Stock Tip,Tom Cherones,Larry David & Jerry Seinfeld,1990-06-21,105
6_2_1_1991-01-23_201,2,1,6,The Ex-Girlfriend,Tom Cherones,Larry David & Jerry Seinfeld,1991-01-23,201
7_2_2_1991-01-30_202,2,2,7,The Pony Remark,Tom Cherones,Larry David & Jerry Seinfeld,1991-01-30,202
8_2_3_1991-02-06_205,2,3,8,The Jacket,Tom Cherones,Larry David & Jerry Seinfeld,1991-02-06,205
9_2_4_1991-02-13_207,2,4,9,The Phone Message,Tom Cherones,Larry David & Jerry Seinfeld,1991-02-13,207
10_2_5_1991-04-04_208,2,5,10,The Apartment,Tom Cherones,Peter Mehlman,1991-04-04,208
11_2_6_1991-04-11_210,2,6,11,The Statue,Tom Cherones,Larry Charles,1991-04-11,210
12_2_7_1991-04-18_212,2,7,12,The Revenge,Tom Cherones,Larry David,1991-04-18,212
13_2_8_1991-04-25_211,2,8,13,The Heart Attack,Tom Cherones,Larry Charles,1991-04-25,211
14_2_9_1991-05-02_213,2,9,14,The Deal,Tom Cherones,Larry David,1991-05-02,213
15_2_10_1991-05-16_204,2,10,15,The Baby Shower,Tom Cherones,Larry Charles,1991-05-16,204
16_2_11_1991-05-23_206,2,11,16,The Chinese Restaurant,Tom Cherones,Larry David & Jerry Seinfeld,1991-05-23,206
17_2_12_1991-06-26_203,2,12,17,The Busboy,Tom Cherones,Larry David & Jerry Seinfeld,1991-06-26,203
18_3_1_1991-09-18_301,3,1,18,The Note,Tom Cherones,Larry David,1991-09-18,301
19_3_2_1991-09-25_302,3,2,19,The Truth,David Steinberg,Elaine Pope,1991-09-25,302
20_3_3_1991-10-02_305,3,3,20,The Pen,Tom Cherones,Larry David,1991-10-02,305
21_3_4_1991-10-09_303,3,4,21,The Dog,Tom Cherones,Larry David,1991-10-09,303
22_3_5_1991-10-16_304,3,5,22,The Library,Joshua White,Larry Charles,1991-10-16,304
23_3_6_1991-10-30_306,3,6,23,The Parking Garage,Tom Cherones,Larry David,1991-10-30,306
24_3_7_1991-11-06_307,3,7,24,The Cafe,Tom Cherones,Tom Leopold,1991-11-06,307
25_3_8_1991-11-13_308,3,8,25,The Tape,David Steinberg,Larry David and Bob Shaw & Don McEnery,1991-11-13,308
26_3_9_1991-11-20_309,3,9,26,The Nose Job,Tom Cherones,Peter Mehlman,1991-11-20,309
27_3_10_1991-11-27_209,3,10,27,The Stranded,Tom Cherones,Larry David & Jerry Seinfeld and Matt Goldman,1991-11-27,209
28_3_11_1991-12-04_310,3,11,28,The Alternate Side,Tom Cherones,Larry David and Bill Masters,1991-12-04,310
29_3_12_1991-12-11_311,3,12,29,The Red Dot,Tom Cherones,Larry David,1991-12-11,311
30_3_13_1992-01-08_313,3,13,30,The Subway,Tom Cherones,Larry Charles,1992-01-08,313
31_3_14_1992-01-15_314,3,14,31,The Pez Dispenser,Tom Cherones,Larry David,1992-01-15,314
32_3_15_1992-01-29_312,3,15,32,The Suicide,Tom Cherones,Tom Leopold,1992-01-29,312
33_3_16_1992-02-05_317,3,16,33,The Fix-Up,Tom Cherones,Elaine Pope & Larry Charles,1992-02-05,317
34_3_17_1992-02-12_315,3,17,34,The Boyfriend (1),Tom Cherones,Larry David and Larry Levin,1992-02-12,315
35_3_18_1992-02-12_316,3,18,35,The Boyfriend (2),Tom Cherones,Larry David and Larry Levin,1992-02-12,316
36_3_19_1992-02-26_318,3,19,36,The Limo,Tom Cherones,Story by: Marc Jaffe Teleplay by: Larry Charles,1992-02-26,318
